iso3,analysis_type,hazard,aad,population,aad_over_pop
TJK,Prospective,Earthquake,20817.7,8669464,0.00240126725250834
TJK,Prospective,Flood,19357.7,8669464,0.00223286007070333
TKM,Prospective,Earthquake,1973.35,5438670,0.000362836870043595
TKM,Prospective,Flood,9445.2,5438670,0.00173667459139826
TLS,Prospective,Earthquake,1265.67,1211245,0.00104493310601901
TLS,Prospective,Flood,94.35,1211245,0.0000778950583903339
TLS,Prospective,Tsunami,31.74,1211245,0.0000262044425363985
TLS,Retrospective,Hydrometeorological,1058.56,1211245,0.000873943752089792
TLS,Retrospective,Landslides,45.9375,1211245,0.0000379258531510966
TLS,Retrospective,Total,1104.5,1211245,0.000911871669232897
TLS,Hybrid,Total,1948,1211245,0.00160826257280732
TON,Prospective,Earthquake,153.15,106915,0.00143244633587429
TON,Prospective,Tsunami,9.24,106915,0.0000864237946031894
TON,Prospective,Wind,955.68,106915,0.00893868961324417
TUV,Prospective,Tsunami,0.12,9943,0.0000120687921150558
TWN,Prospective,Earthquake,20453.3,23395600,0.000874237036023868
TWN,Prospective,Flood,2994.23,23395600,0.000127982612115099
TWN,Prospective,Storm,42560.8,23395600,0.00181917967481065
TWN,Prospective,Tsunami,433.72,23395600,0.0000185385286122177
TWN,Prospective,Wind,6130.8,23395600,0.000262049274222503
UZB,Prospective,Earthquake,36121.8,30300446,0.00119212106646879
UZB,Prospective,Flood,23351.1,30300446,0.000770652022745804
VNM,Prospective,Earthquake,347.84,94444200,0.00000368302129723159
VNM,Prospective,Flood,647821,94444200,0.00685929892995017
VNM,Prospective,Storm,18163.3,94444200,0.000192317791881344
VNM,Prospective,Tsunami,235.51,94444200,0.00000249364174824923
VNM,Prospective,Wind,3421.89,94444200,0.0000362318702471936
VNM,Retrospective,Hydrometeorological,127626,94444200,0.00135133761522677
VNM,Retrospective,Landslides,134.167,94444200,0.00000142059544154114
VNM,Retrospective,Total,127760,94444200,0.00135275644242844
VNM,Hybrid,Total,738498,94444200,0.00781941082671037
VUT,Prospective,Earthquake,372.15,270470,0.00137593818168374
VUT,Prospective,Storm,1002.64,270470,0.00370702850593411
VUT,Prospective,Tsunami,0.98,270470,0.00000362332236477243
VUT,Prospective,Wind,1900.76,270470,0.00702761858986209
WSM,Prospective,Earthquake,15.69,194523,0.0000806588423990993
WSM,Prospective,Tsunami,0.84,194523,0.00000431825542480838
WSM,Prospective,Wind,1065.89,194523,0.0054795062794631
ALB,Prospective,Earthquake,1363.92,2903700,0.000469717946068809
